Model,Fold,Macro_F1,Balanced_Accuracy,MCC,Log_Loss
Structured_RF,1,0.8559556131116883,0.8566108507284979,0.7689907976917292,0.4805967148208727
Structured_RF,2,0.9222147011071579,0.9257811430172328,0.8723217982319658,0.3573662380495123
Structured_RF,3,0.6503467898627879,0.6470975830199132,0.46423530798512797,0.6968338767140968
LigandText_Logistic,1,0.7890997865948218,0.7911242793595735,0.661640031322261,0.5215010624979951
LigandText_Logistic,2,0.9010516266588725,0.9181754338357323,0.8532554484776198,0.288250939325246
LigandText_Logistic,3,0.6790736987577545,0.6696260633787016,0.5132133014515705,0.970132417476202
