,precision,recall,f1-score,support
0,0.7419354838709677,0.8518518518518519,0.7931034482758621,54.0
1,0.6842105263157895,0.6842105263157895,0.6842105263157895,76.0
2,0.8396946564885496,0.7913669064748201,0.8148148148148148,139.0
accuracy,0.7732342007434945,0.7732342007434945,0.7732342007434945,0.7732342007434945
macro avg,0.7552802222251023,0.7758097615474872,0.7640429298021555,269.0
weighted avg,0.7761415367321213,0.7732342007434945,0.7735570463425866,269.0
