ID,Legante,Famiglia_Legante,Metallo,Sale_Metallico,Solvente,Additivo_Colinker,Temperatura_C,Tempo_ore,mmol_Legante,mmol_Sale,Rapporto_LM,Procedura_Sintetica,Esito_ML,Volume solvente,Data_Quality_Flag,Exact_Duplicate_Group,Outcome_Conflict_Flag,Training_v5_2_Status,Training_v5_2_Reason,Training_v5_2_Warning,Split_ID,Split_Set,Grouping_Variable,Split_Seed
34,"3-(3,5-DiMePz4-yl)pentane-2,4-dione",Altro,Zr,Zr(OCH3)4,Et3N,Nessuno,120,30,0.25,0.4,0.625,Solvothermal,1,,temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730
35,"3-(3,5-DiMePz4-yl)pentane-2,4-dione",Altro,Zr,ZrCl4,MeOH,Nessuno,110,94,0.3,0.3,1,Solvothermal,1,,numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730
36,"3-(3,5-DiMePz4-yl)pentane-2,4-dione",Altro,Zr,ZrCl4,MeOH,Nessuno,100,24,0.3,0.3,1,Solvothermal,1,,numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730
37,"3-(3,5-DiMePz4-yl)pentane-2,4-dione",Altro,Zr,ZrCl4,MeOH,Nessuno,110,48,0.15,0.15,1,Solvothermal,1,,numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730
38,"3-(3,5-DiMePz4-yl)pentane-2,4-dione",Altro,Zr,ZrCl4,MeOH,Nessuno,110,72,0.15,0.15,1,Solvothermal,1,,numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730
39,"3-amino-4,4'-bipyrazole",Bipyrazole,Ag,Ag2O,MeOH,Nessuno,120,24,0.2,0.2,1,Solvothermal,1,,numeric_decimal_standardized;solvent_canonicalized;temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730
40,"3-amino-4,4'-bipyrazole",Bipyrazole,Ag,AgNO3,ButOH,Trietilammina (TEA),120,36,0.15,0.15,1,Solvothermal,1,,additive_canonicalized;numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730
41,"3-amino-4,4'-bipyrazole",Bipyrazole,Ag,AgNO3,DMF,Nessuno,110,48,0.2,0.2,1,Solvothermal,1,,numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730
42,"3-amino-4,4'-bipyrazole",Bipyrazole,Ag,AgNO3,MeOH,Trietilammina (TEA),70,72,0.15,0.15,1,Solvothermal,1,,additive_canonicalized;numeric_decimal_standardized;solvent_canonicalized;temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730
43,"3-amino-4,4'-bipyrazole",Bipyrazole,Ag,AgNO3,MeOH,Nessuno,120,24,0.2,0.2,1,Solvothermal,1,,numeric_decimal_standardized;solvent_canonicalized;temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730
44,"3-amino-4,4'-bipyrazole",Bipyrazole,Ag,AgNO3,DMF,Nessuno,120,24,0.2,0.4,0.5,Solvothermal,1,,temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730
45,"3-amino-4,4'-bipyrazole",Bipyrazole,Ag,Ag2O,NH3 28%,Nessuno,60,24,0.2,0.2,1,Solvothermal,1,,numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730
46,"3-amino-4,4'-bipyrazole",Bipyrazole,Ag,AgNO3,DMF/H2O,Nessuno,100,96,0.2,0.2,1,Solvothermal,1,,numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730
47,"3-amino-4,4'-bipyrazole",Bipyrazole,Ag,AgNO3,DMF,Nessuno,100,24,0.4,0.4,1,Solvothermal,1,,numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730
48,"3-amino-4,4'-bipyrazole",Bipyrazole,Ag,AgNO3,DMF,Nessuno,100,5,0.2,0.2,1,Solvothermal,1,,numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730
49,"3-amino-4,4'-bipyrazole",Bipyrazole,Ag,AgNO3,DMF,Nessuno,90,2,0.2,0.2,1,Solvothermal,1,,numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730
