Lab_Record_ID,Sample_ID,Source_Row,Experiment_Date,Legante,Ligand_SMILES,Ligand_InChIKey,Metallo,Sale_Metallico,Counterion_Class,Hydration_Number,Oxidation_State,Solvente,Solvent_1,Solvent_1_mL,Solvent_2,Solvent_2_mL,Additivo_Colinker,Additive_Details,Temperatura_C,Tempo_ore,mmol_Legante,mmol_Sale,Rapporto_LM,Volume_solvente_mL,Procedura_Sintetica,Condition_Group_ID,Microwave_Power_W,Microwave_Power_Range,Heating_Ramp_min,Hold_Time_min,Cooling_Time_min,Sonication_Power_W,Sonication_Duration_min,Post_Heating_C,Post_Heating_Time_h,Outcome_code,Outcome_label,PXRD_Confirmed,Evidence,Training_Status,Exclusion_Reason,Data_Quality_Flag,Duplicate_Count,Replicate_Count
LAB-DDS-012,"DDS10,2",85,,"3-amino-4,4'-bipyrazole",Nc1[nH]ncc1-c1cn[nH]c1,BNWJEGGLNCCFLN-UHFFFAOYSA-N,Zn,Zn(OAc)2·2H2O,acetate,2,2,H2O/DMF,H2O + ibuprofene,8,DMF,2.0,Ibuprofene,Soluzione di ibuprofene; concentrazione annotata in modo ambiguo,120,0.666667,0.2,0.2,1,10,Microwave; in situ drug loading,"3-amino-4,4'-bipyrazole|zn|h2o/dmf|ibuprofene|120|0.666667|0.2|0.2|10|microwave; in situ drug loading|200|10|15|15||",200.0,,10.0,15.0,15.0,,,,,2,Crystalline MOF,True,PXRD annotato cristallino,EXCLUDE_SPECIAL,Sintesi con ibuprofene presente durante la formazione; dominio differente,laboratory_record;in_situ_drug_loading;drug_concentration_ambiguous,1,1
LAB-DDS-013,"DDS10,3",92,,"3-amino-4,4'-bipyrazole",Nc1[nH]ncc1-c1cn[nH]c1,BNWJEGGLNCCFLN-UHFFFAOYSA-N,Zn,Zn(OAc)2·2H2O,acetate,2,2,H2O,H2O + ibuprofene,10,,,Ibuprofene,10 mL di soluzione di ibuprofene; concentrazione non riportata,120,0.666667,0.2,0.2,1,10,Microwave; in situ drug loading,"3-amino-4,4'-bipyrazole|zn|h2o|ibuprofene|120|0.666667|0.2|0.2|10|microwave; in situ drug loading|200|10|15|15||",200.0,,10.0,15.0,15.0,,,,,2,Crystalline MOF,True,PXRD annotato cristallino,EXCLUDE_SPECIAL,Sintesi con ibuprofene presente durante la formazione; dominio differente,laboratory_record;in_situ_drug_loading;drug_concentration_missing,1,1
