ID,Legante,Famiglia_Legante,Metallo,Sale_Metallico,Solvente,Additivo_Colinker,Temperatura_C,Tempo_ore,mmol_Legante,mmol_Sale,Rapporto_LM,Procedura_Sintetica,Esito_ML,Volume solvente,Data_Quality_Flag,Exact_Duplicate_Group,Outcome_Conflict_Flag,Training_v5_2_Status,Training_v5_2_Reason,Training_v5_2_Warning,Split_ID,Split_Set,Grouping_Variable,Split_Seed,Ligand_Text,Hydration_Number,Counterion_Class,Oxidation_State,Metal_Atomic_Number,Metal_Atomic_Weight,Metal_Group,Metal_Period,Metal_Block,Metal_Electronegativity,Ligand_SMILES,Ligand_InChIKey,Structure_Status,Structure_Source,Ligand_Scaffold,Label_Contradiction_Flag,Structure_Missing_Flag,Quality_Status,Condition_Outcome_Conflict_Flag
33,"3-nitro-4,4'-bipyrazole",Bipyrazole,Ni,Ni(OAc)2·4H2O,MeCN,Trietilammina (TEA),120,48.0,0.2,0.4,0.5,Solvothermal,1,,additive_canonicalized;salt_hydrate_separator_standardized;solvent_canonicalized;temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730,"3-nitro-4,4'-bipyrazole bipyrazole",4.0,acetate,2.0,28.0,58.693,10.0,4.0,d,1.91,O=[N+]([O-])c1[nH]ncc1-c1cn[nH]c1,RTOLQGUSKACYLE-UHFFFAOYSA-N,resolved,PubChem PUG REST,c1n[nH]cc1-c1cn[nH]c1,False,False,INCLUDE,False
34,"3-(3,5-DiMePz4-yl)pentane-2,4-dione",Altro,Zr,Zr(OCH3)4,Et3N,Nessuno,120,30.0,0.25,0.4,0.625,Solvothermal,1,,temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730,"3-(3,5-dimepz4-yl)pentane-2,4-dione altro",0.0,alkoxide,4.0,40.0,91.224,4.0,5.0,d,1.33,,,pubchem_http_404,unresolved,,False,True,INCLUDE,False
35,"3-(3,5-DiMePz4-yl)pentane-2,4-dione",Altro,Zr,ZrCl4,MeOH,Nessuno,110,94.0,0.3,0.3,1.0,Solvothermal,1,,numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730,"3-(3,5-dimepz4-yl)pentane-2,4-dione altro",0.0,chloride,4.0,40.0,91.224,4.0,5.0,d,1.33,,,pubchem_http_404,unresolved,,False,True,REVIEW,True
36,"3-(3,5-DiMePz4-yl)pentane-2,4-dione",Altro,Zr,ZrCl4,MeOH,Nessuno,100,24.0,0.3,0.3,1.0,Solvothermal,1,,numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730,"3-(3,5-dimepz4-yl)pentane-2,4-dione altro",0.0,chloride,4.0,40.0,91.224,4.0,5.0,d,1.33,,,pubchem_http_404,unresolved,,False,True,INCLUDE,False
37,"3-(3,5-DiMePz4-yl)pentane-2,4-dione",Altro,Zr,ZrCl4,MeOH,Nessuno,110,48.0,0.15,0.15,1.0,Solvothermal,1,,numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730,"3-(3,5-dimepz4-yl)pentane-2,4-dione altro",0.0,chloride,4.0,40.0,91.224,4.0,5.0,d,1.33,,,pubchem_http_404,unresolved,,False,True,REVIEW,True
38,"3-(3,5-DiMePz4-yl)pentane-2,4-dione",Altro,Zr,ZrCl4,MeOH,Nessuno,110,72.0,0.15,0.15,1.0,Solvothermal,1,,numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730,"3-(3,5-dimepz4-yl)pentane-2,4-dione altro",0.0,chloride,4.0,40.0,91.224,4.0,5.0,d,1.33,,,pubchem_http_404,unresolved,,False,True,REVIEW,True
39,"3-amino-4,4'-bipyrazole",Bipyrazole,Ag,Ag2O,MeOH,Nessuno,120,24.0,0.2,0.2,1.0,Solvothermal,1,,numeric_decimal_standardized;solvent_canonicalized;temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730,"3-amino-4,4'-bipyrazole bipyrazole",0.0,oxide,,47.0,107.868,11.0,5.0,d,1.93,Nc1[nH]ncc1-c1cn[nH]c1,BNWJEGGLNCCFLN-UHFFFAOYSA-N,curated_name_to_structure,Curated project registry,c1n[nH]cc1-c1cn[nH]c1,False,False,INCLUDE,False
40,"3-amino-4,4'-bipyrazole",Bipyrazole,Ag,AgNO3,ButOH,Trietilammina (TEA),120,36.0,0.15,0.15,1.0,Solvothermal,1,,additive_canonicalized;numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730,"3-amino-4,4'-bipyrazole bipyrazole",0.0,nitrate,,47.0,107.868,11.0,5.0,d,1.93,Nc1[nH]ncc1-c1cn[nH]c1,BNWJEGGLNCCFLN-UHFFFAOYSA-N,curated_name_to_structure,Curated project registry,c1n[nH]cc1-c1cn[nH]c1,False,False,INCLUDE,False
41,"3-amino-4,4'-bipyrazole",Bipyrazole,Ag,AgNO3,DMF,Nessuno,110,48.0,0.2,0.2,1.0,Solvothermal,1,,numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730,"3-amino-4,4'-bipyrazole bipyrazole",0.0,nitrate,,47.0,107.868,11.0,5.0,d,1.93,Nc1[nH]ncc1-c1cn[nH]c1,BNWJEGGLNCCFLN-UHFFFAOYSA-N,curated_name_to_structure,Curated project registry,c1n[nH]cc1-c1cn[nH]c1,False,False,REVIEW,True
42,"3-amino-4,4'-bipyrazole",Bipyrazole,Ag,AgNO3,MeOH,Trietilammina (TEA),70,72.0,0.15,0.15,1.0,Solvothermal,1,,additive_canonicalized;numeric_decimal_standardized;solvent_canonicalized;temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730,"3-amino-4,4'-bipyrazole bipyrazole",0.0,nitrate,,47.0,107.868,11.0,5.0,d,1.93,Nc1[nH]ncc1-c1cn[nH]c1,BNWJEGGLNCCFLN-UHFFFAOYSA-N,curated_name_to_structure,Curated project registry,c1n[nH]cc1-c1cn[nH]c1,False,False,REVIEW,True
43,"3-amino-4,4'-bipyrazole",Bipyrazole,Ag,AgNO3,MeOH,Nessuno,120,24.0,0.2,0.2,1.0,Solvothermal,1,,numeric_decimal_standardized;solvent_canonicalized;temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730,"3-amino-4,4'-bipyrazole bipyrazole",0.0,nitrate,,47.0,107.868,11.0,5.0,d,1.93,Nc1[nH]ncc1-c1cn[nH]c1,BNWJEGGLNCCFLN-UHFFFAOYSA-N,curated_name_to_structure,Curated project registry,c1n[nH]cc1-c1cn[nH]c1,False,False,INCLUDE,False
44,"3-amino-4,4'-bipyrazole",Bipyrazole,Ag,AgNO3,DMF,Nessuno,120,24.0,0.2,0.4,0.5,Solvothermal,1,,temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730,"3-amino-4,4'-bipyrazole bipyrazole",0.0,nitrate,,47.0,107.868,11.0,5.0,d,1.93,Nc1[nH]ncc1-c1cn[nH]c1,BNWJEGGLNCCFLN-UHFFFAOYSA-N,curated_name_to_structure,Curated project registry,c1n[nH]cc1-c1cn[nH]c1,False,False,REVIEW,True
45,"3-amino-4,4'-bipyrazole",Bipyrazole,Ag,Ag2O,NH3 28%,Nessuno,60,24.0,0.2,0.2,1.0,Solvothermal,1,,numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730,"3-amino-4,4'-bipyrazole bipyrazole",0.0,oxide,,47.0,107.868,11.0,5.0,d,1.93,Nc1[nH]ncc1-c1cn[nH]c1,BNWJEGGLNCCFLN-UHFFFAOYSA-N,curated_name_to_structure,Curated project registry,c1n[nH]cc1-c1cn[nH]c1,False,False,REVIEW,True
46,"3-amino-4,4'-bipyrazole",Bipyrazole,Ag,AgNO3,DMF/H2O,Nessuno,100,96.0,0.2,0.2,1.0,Solvothermal,1,,numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730,"3-amino-4,4'-bipyrazole bipyrazole",0.0,nitrate,,47.0,107.868,11.0,5.0,d,1.93,Nc1[nH]ncc1-c1cn[nH]c1,BNWJEGGLNCCFLN-UHFFFAOYSA-N,curated_name_to_structure,Curated project registry,c1n[nH]cc1-c1cn[nH]c1,False,False,REVIEW,True
47,"3-amino-4,4'-bipyrazole",Bipyrazole,Ag,AgNO3,DMF,Nessuno,100,24.0,0.4,0.4,1.0,Solvothermal,1,,numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730,"3-amino-4,4'-bipyrazole bipyrazole",0.0,nitrate,,47.0,107.868,11.0,5.0,d,1.93,Nc1[nH]ncc1-c1cn[nH]c1,BNWJEGGLNCCFLN-UHFFFAOYSA-N,curated_name_to_structure,Curated project registry,c1n[nH]cc1-c1cn[nH]c1,False,False,REVIEW,True
48,"3-amino-4,4'-bipyrazole",Bipyrazole,Ag,AgNO3,DMF,Nessuno,100,5.0,0.2,0.2,1.0,Solvothermal,1,,numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730,"3-amino-4,4'-bipyrazole bipyrazole",0.0,nitrate,,47.0,107.868,11.0,5.0,d,1.93,Nc1[nH]ncc1-c1cn[nH]c1,BNWJEGGLNCCFLN-UHFFFAOYSA-N,curated_name_to_structure,Curated project registry,c1n[nH]cc1-c1cn[nH]c1,False,False,REVIEW,True
49,"3-amino-4,4'-bipyrazole",Bipyrazole,Ag,AgNO3,DMF,Nessuno,90,2.0,0.2,0.2,1.0,Solvothermal,1,,numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730,"3-amino-4,4'-bipyrazole bipyrazole",0.0,nitrate,,47.0,107.868,11.0,5.0,d,1.93,Nc1[nH]ncc1-c1cn[nH]c1,BNWJEGGLNCCFLN-UHFFFAOYSA-N,curated_name_to_structure,Curated project registry,c1n[nH]cc1-c1cn[nH]c1,False,False,REVIEW,True
50,"3-amino-4,4'-bipyrazole",Bipyrazole,Ag,AgNO3,DMF,Nessuno,100,1.0,0.4,0.4,1.0,Solvothermal,1,,numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730,"3-amino-4,4'-bipyrazole bipyrazole",0.0,nitrate,,47.0,107.868,11.0,5.0,d,1.93,Nc1[nH]ncc1-c1cn[nH]c1,BNWJEGGLNCCFLN-UHFFFAOYSA-N,curated_name_to_structure,Curated project registry,c1n[nH]cc1-c1cn[nH]c1,False,False,REVIEW,True
51,"3-amino-4,4'-bipyrazole",Bipyrazole,Ag,AgNO3,DMF,Nessuno,120,72.0,0.15,2.0,0.075,Solvothermal,1,,numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730,"3-amino-4,4'-bipyrazole bipyrazole",0.0,nitrate,,47.0,107.868,11.0,5.0,d,1.93,Nc1[nH]ncc1-c1cn[nH]c1,BNWJEGGLNCCFLN-UHFFFAOYSA-N,curated_name_to_structure,Curated project registry,c1n[nH]cc1-c1cn[nH]c1,False,False,INCLUDE,False
52,"3-amino-4,4'-bipyrazole",Bipyrazole,Ag,AgNO3,DMF/H2O/EtOH,Nessuno,100,1.0,0.15,0.15,1.0,Solvothermal,1,,numeric_decimal_standardized;solvent_canonicalized;temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730,"3-amino-4,4'-bipyrazole bipyrazole",0.0,nitrate,,47.0,107.868,11.0,5.0,d,1.93,Nc1[nH]ncc1-c1cn[nH]c1,BNWJEGGLNCCFLN-UHFFFAOYSA-N,curated_name_to_structure,Curated project registry,c1n[nH]cc1-c1cn[nH]c1,False,False,REVIEW,True
53,"3-amino-4,4'-bipyrazole",Bipyrazole,Ag,AgNO3,DMA,Nessuno,100,4.0,0.15,0.15,1.0,Solvothermal,1,,numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730,"3-amino-4,4'-bipyrazole bipyrazole",0.0,nitrate,,47.0,107.868,11.0,5.0,d,1.93,Nc1[nH]ncc1-c1cn[nH]c1,BNWJEGGLNCCFLN-UHFFFAOYSA-N,curated_name_to_structure,Curated project registry,c1n[nH]cc1-c1cn[nH]c1,False,False,REVIEW,True
54,"3-amino-4,4'-bipyrazole",Bipyrazole,Ag,AgNO3,DMF,Acido benzoico,90,1.0,0.15,0.15,1.0,Solvothermal,1,,numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730,"3-amino-4,4'-bipyrazole bipyrazole",0.0,nitrate,,47.0,107.868,11.0,5.0,d,1.93,Nc1[nH]ncc1-c1cn[nH]c1,BNWJEGGLNCCFLN-UHFFFAOYSA-N,curated_name_to_structure,Curated project registry,c1n[nH]cc1-c1cn[nH]c1,False,False,REVIEW,True
55,"3-amino-4,4'-bipyrazole",Bipyrazole,Ag,AgNO3,DMF,Nessuno,100,1.5,0.15,0.15,1.0,Solvothermal,1,,numeric_decimal_standardized;temperature_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730,"3-amino-4,4'-bipyrazole bipyrazole",0.0,nitrate,,47.0,107.868,11.0,5.0,d,1.93,Nc1[nH]ncc1-c1cn[nH]c1,BNWJEGGLNCCFLN-UHFFFAOYSA-N,curated_name_to_structure,Curated project registry,c1n[nH]cc1-c1cn[nH]c1,False,False,REVIEW,True
56,"3-amino-4,4'-bipyrazole",Bipyrazole,Ag,AgNO3,DMF/MeCN,Nessuno,100,1.0,0.15,0.15,1.0,Solvothermal,1,,numeric_decimal_standardized;solvent_canonicalized;temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730,"3-amino-4,4'-bipyrazole bipyrazole",0.0,nitrate,,47.0,107.868,11.0,5.0,d,1.93,Nc1[nH]ncc1-c1cn[nH]c1,BNWJEGGLNCCFLN-UHFFFAOYSA-N,curated_name_to_structure,Curated project registry,c1n[nH]cc1-c1cn[nH]c1,False,False,REVIEW,True
57,"3-amino-4,4'-bipyrazole",Bipyrazole,Ag,AgNO3,DMF/MeCN,Nessuno,80,24.0,0.15,0.15,1.0,Solvothermal,1,,numeric_decimal_standardized;solvent_canonicalized;temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730,"3-amino-4,4'-bipyrazole bipyrazole",0.0,nitrate,,47.0,107.868,11.0,5.0,d,1.93,Nc1[nH]ncc1-c1cn[nH]c1,BNWJEGGLNCCFLN-UHFFFAOYSA-N,curated_name_to_structure,Curated project registry,c1n[nH]cc1-c1cn[nH]c1,False,False,REVIEW,True
58,"3-amino-4,4'-bipyrazole",Bipyrazole,Ag,AgNO3,DMF/MeCN,Nessuno,100,1.5,0.15,0.15,1.0,Solvothermal,1,,numeric_decimal_standardized;solvent_canonicalized;temperature_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730,"3-amino-4,4'-bipyrazole bipyrazole",0.0,nitrate,,47.0,107.868,11.0,5.0,d,1.93,Nc1[nH]ncc1-c1cn[nH]c1,BNWJEGGLNCCFLN-UHFFFAOYSA-N,curated_name_to_structure,Curated project registry,c1n[nH]cc1-c1cn[nH]c1,False,False,REVIEW,True
59,"3-amino-4,4'-bipyrazole",Bipyrazole,Ag,AgNO3,Et3N,Nessuno,120,24.0,0.3,0.3,1.0,Solvothermal,1,,numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730,"3-amino-4,4'-bipyrazole bipyrazole",0.0,nitrate,,47.0,107.868,11.0,5.0,d,1.93,Nc1[nH]ncc1-c1cn[nH]c1,BNWJEGGLNCCFLN-UHFFFAOYSA-N,curated_name_to_structure,Curated project registry,c1n[nH]cc1-c1cn[nH]c1,False,False,INCLUDE,False
60,"3-amino-4,4'-bipyrazole",Bipyrazole,Ag,AgNO3,DMF,Nessuno,100,48.0,0.2,0.2,1.0,Solvothermal,1,,numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730,"3-amino-4,4'-bipyrazole bipyrazole",0.0,nitrate,,47.0,107.868,11.0,5.0,d,1.93,Nc1[nH]ncc1-c1cn[nH]c1,BNWJEGGLNCCFLN-UHFFFAOYSA-N,curated_name_to_structure,Curated project registry,c1n[nH]cc1-c1cn[nH]c1,False,False,REVIEW,True
