ID,Legante,Famiglia_Legante,Metallo,Sale_Metallico,Solvente,Additivo_Colinker,Temperatura_C,Tempo_ore,mmol_Legante,mmol_Sale,Rapporto_LM,Procedura_Sintetica,Esito_ML,Volume solvente,Data_Quality_Flag,Exact_Duplicate_Group,Outcome_Conflict_Flag,Training_v5_2_Status,Training_v5_2_Reason,Training_v5_2_Warning,Split_ID,Split_Set,Grouping_Variable,Split_Seed,Ligand_Text,Hydration_Number,Counterion_Class,Oxidation_State,Metal_Atomic_Number,Metal_Atomic_Weight,Metal_Group,Metal_Period,Metal_Block,Metal_Electronegativity,Source_Type,Source_Record_ID,PXRD_Confirmed,Evidence,Ligand_SMILES,Ligand_InChIKey,Future_Training_Status,Condition_Group_ID,Microwave_Power_W,Microwave_Power_Range,Heating_Ramp_min,Hold_Time_min,Cooling_Time_min,Sonication_Power_W,Sonication_Duration_min,Post_Heating_C,Post_Heating_Time_h
32,"3-nitro-4,4'-bipyrazole",Bipyrazole,Ni,Ni(OAc)2·4H2O,MeCN,Nessuno,120,48.0,0.2,0.2,1.0,Solvothermal,0,,numeric_decimal_standardized;salt_hydrate_separator_standardized;solvent_canonicalized;temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730.0,"3-nitro-4,4'-bipyrazole bipyrazole",4.0,acetate,2.0,28.0,58.693,10.0,4.0,d,1.91,legacy_project_dataset,32,,,,,FROZEN_V8_RECORD,,,,,,,,,,
33,"3-nitro-4,4'-bipyrazole",Bipyrazole,Ni,Ni(OAc)2·4H2O,MeCN,Trietilammina (TEA),120,48.0,0.2,0.4,0.5,Solvothermal,1,,additive_canonicalized;salt_hydrate_separator_standardized;solvent_canonicalized;temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730.0,"3-nitro-4,4'-bipyrazole bipyrazole",4.0,acetate,2.0,28.0,58.693,10.0,4.0,d,1.91,legacy_project_dataset,33,,,,,FROZEN_V8_RECORD,,,,,,,,,,
34,"3-(3,5-DiMePz4-yl)pentane-2,4-dione",Altro,Zr,Zr(OCH3)4,Et3N,Nessuno,120,30.0,0.25,0.4,0.625,Solvothermal,1,,temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730.0,"3-(3,5-dimepz4-yl)pentane-2,4-dione altro",0.0,alkoxide,4.0,40.0,91.224,4.0,5.0,d,1.33,legacy_project_dataset,34,,,,,FROZEN_V8_RECORD,,,,,,,,,,
35,"3-(3,5-DiMePz4-yl)pentane-2,4-dione",Altro,Zr,ZrCl4,MeOH,Nessuno,110,94.0,0.3,0.3,1.0,Solvothermal,1,,numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730.0,"3-(3,5-dimepz4-yl)pentane-2,4-dione altro",0.0,chloride,4.0,40.0,91.224,4.0,5.0,d,1.33,legacy_project_dataset,35,,,,,FROZEN_V8_RECORD,,,,,,,,,,
36,"3-(3,5-DiMePz4-yl)pentane-2,4-dione",Altro,Zr,ZrCl4,MeOH,Nessuno,100,24.0,0.3,0.3,1.0,Solvothermal,1,,numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730.0,"3-(3,5-dimepz4-yl)pentane-2,4-dione altro",0.0,chloride,4.0,40.0,91.224,4.0,5.0,d,1.33,legacy_project_dataset,36,,,,,FROZEN_V8_RECORD,,,,,,,,,,
37,"3-(3,5-DiMePz4-yl)pentane-2,4-dione",Altro,Zr,ZrCl4,MeOH,Nessuno,110,48.0,0.15,0.15,1.0,Solvothermal,1,,numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730.0,"3-(3,5-dimepz4-yl)pentane-2,4-dione altro",0.0,chloride,4.0,40.0,91.224,4.0,5.0,d,1.33,legacy_project_dataset,37,,,,,FROZEN_V8_RECORD,,,,,,,,,,
38,"3-(3,5-DiMePz4-yl)pentane-2,4-dione",Altro,Zr,ZrCl4,MeOH,Nessuno,110,72.0,0.15,0.15,1.0,Solvothermal,1,,numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730.0,"3-(3,5-dimepz4-yl)pentane-2,4-dione altro",0.0,chloride,4.0,40.0,91.224,4.0,5.0,d,1.33,legacy_project_dataset,38,,,,,FROZEN_V8_RECORD,,,,,,,,,,
39,"3-amino-4,4'-bipyrazole",Bipyrazole,Ag,Ag2O,MeOH,Nessuno,120,24.0,0.2,0.2,1.0,Solvothermal,1,,numeric_decimal_standardized;solvent_canonicalized;temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730.0,"3-amino-4,4'-bipyrazole bipyrazole",0.0,oxide,,47.0,107.868,11.0,5.0,d,1.93,legacy_project_dataset,39,,,,,FROZEN_V8_RECORD,,,,,,,,,,
40,"3-amino-4,4'-bipyrazole",Bipyrazole,Ag,AgNO3,ButOH,Trietilammina (TEA),120,36.0,0.15,0.15,1.0,Solvothermal,1,,additive_canonicalized;numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730.0,"3-amino-4,4'-bipyrazole bipyrazole",0.0,nitrate,,47.0,107.868,11.0,5.0,d,1.93,legacy_project_dataset,40,,,,,FROZEN_V8_RECORD,,,,,,,,,,
41,"3-amino-4,4'-bipyrazole",Bipyrazole,Ag,AgNO3,DMF,Nessuno,110,48.0,0.2,0.2,1.0,Solvothermal,1,,numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730.0,"3-amino-4,4'-bipyrazole bipyrazole",0.0,nitrate,,47.0,107.868,11.0,5.0,d,1.93,legacy_project_dataset,41,,,,,FROZEN_V8_RECORD,,,,,,,,,,
42,"3-amino-4,4'-bipyrazole",Bipyrazole,Ag,AgNO3,MeOH,Trietilammina (TEA),70,72.0,0.15,0.15,1.0,Solvothermal,1,,additive_canonicalized;numeric_decimal_standardized;solvent_canonicalized;temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730.0,"3-amino-4,4'-bipyrazole bipyrazole",0.0,nitrate,,47.0,107.868,11.0,5.0,d,1.93,legacy_project_dataset,42,,,,,FROZEN_V8_RECORD,,,,,,,,,,
43,"3-amino-4,4'-bipyrazole",Bipyrazole,Ag,AgNO3,MeOH,Nessuno,120,24.0,0.2,0.2,1.0,Solvothermal,1,,numeric_decimal_standardized;solvent_canonicalized;temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730.0,"3-amino-4,4'-bipyrazole bipyrazole",0.0,nitrate,,47.0,107.868,11.0,5.0,d,1.93,legacy_project_dataset,43,,,,,FROZEN_V8_RECORD,,,,,,,,,,
44,"3-amino-4,4'-bipyrazole",Bipyrazole,Ag,AgNO3,DMF,Nessuno,120,24.0,0.2,0.4,0.5,Solvothermal,1,,temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730.0,"3-amino-4,4'-bipyrazole bipyrazole",0.0,nitrate,,47.0,107.868,11.0,5.0,d,1.93,legacy_project_dataset,44,,,,,FROZEN_V8_RECORD,,,,,,,,,,
