Positive_ID,ID,Legante,Famiglia_Legante,Metallo,Sale_Metallico,Solvente,Additivo_Colinker,Temperatura_C,Tempo_ore,mmol_Legante,mmol_Sale,Rapporto_LM,Volume solvente,Hydration_Number,Counterion_Class,Oxidation_State,Procedura_Sintetica,Esito_ML,Positive_Library_Source,Data_Quality_Flag,Split_Set
POS-0070,452,"1,4-Benzenedicarboxylic acid (H2BDC)",Non specificata,Ti,Ti(OiPr)4,DMF/MeOH,Nessuno,150,15.0,12.0,6.0,2.0,,,,,Solvothermal,2,development_positive,numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,DEVELOPMENT
POS-0071,456,5-Methoxyisophthalic acid,Non specificata,Al,Al(ClO4)3·6H2O,H2O,Nessuno,130,12.0,2.0,2.0,1.0,,,,,Hydrothermal,2,development_positive,numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,DEVELOPMENT
POS-0072,457,5-Nitroisophthalic acid,Non specificata,Al,Al(ClO4)3·6H2O,H2O,Nessuno,130,12.0,2.0,2.0,1.0,,,,,Hydrothermal,2,development_positive,numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,DEVELOPMENT
POS-0073,458,"trans-Cyclohexane-1,4-dicarboxylic acid",Non specificata,Al,Al2(SO4)3·18H2O,H2O,Nessuno,180,24.0,3.0,1.5,2.0,,,,,Hydrothermal,2,development_positive,numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,DEVELOPMENT
POS-0074,459,TCPP (Tetrakis(4-carboxyphenyl)porphyrin),Non specificata,Zr,ZrOCl2·8H2O,DMF/BA,Nessuno,120,12.0,0.04,0.3,0.1333,,,,,Solvothermal,2,development_positive,temperature_numeric_standardized;time_numeric_standardized,DEVELOPMENT
POS-0075,460,TCPP,Non specificata,Hf,HfCl4,DMF/BA,Nessuno,120,24.0,0.03,0.2,0.15,,,,,Solvothermal,2,development_positive,temperature_numeric_standardized;time_numeric_standardized,DEVELOPMENT
POS-0076,461,TCPP,Non specificata,Fe,FeCl3,DMF,Nessuno,150,24.0,0.08,0.5,0.16,,,,,Solvothermal,2,development_positive,temperature_numeric_standardized;time_numeric_standardized,DEVELOPMENT
POS-0077,462,Fumaric acid,Non specificata,Zr,ZrCl4,DMF/Formic acid,Nessuno,120,24.0,1.0,1.0,1.0,,,,,Solvothermal,2,development_positive,numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,DEVELOPMENT
POS-0078,464,"Pyrazole-3,5-dicarboxylic acid",Non specificata,Zr,ZrCl4,DMF/Formic acid,Nessuno,120,24.0,1.0,1.0,1.0,,,,,Solvothermal,2,development_positive,numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,DEVELOPMENT
POS-0079,465,"1H-pyrazole-3,5-dicarboxylic acid",Non specificata,Al,AlCl3·6H2O,H2O,Nessuno,100,24.0,2.0,2.0,1.0,,,,,Hydrothermal,2,development_positive,numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,DEVELOPMENT
POS-0080,466,"1,4-Benzenedicarboxylic acid (H2BDC)",Non specificata,Fe,FeCl3,EtOH,Nessuno,80,24.0,1.0,2.0,0.5,,,,,Solvothermal,2,development_positive,numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,DEVELOPMENT
POS-0081,468,"5-(2,4,6-trioxohexahydro-1,3,5-triazin-1-yl)isophthalic acid",Non specificata,Cu,Cu(NO3)2·2.5H2O,DMA/DMSO,Nessuno,85,72.0,0.15,0.5,0.3,,,,,Solvothermal,2,development_positive,temperature_numeric_standardized;time_numeric_standardized,DEVELOPMENT
