Sample#,SampleID,Metal,Linker,AA Conc,Temp,first_hetero_h,first_solid_h,first_hetero_or_solid_h,Primary Phase,Secondary Phase
533,MG2-82-01,Ce,BDC,0,60,,13.998,13.998,no solid product,n/a
534,MG2-82-02,Ce,Phthalic,0,60,,,,no solid product,n/a
535,MG2-82-03,Ce,Isophthalic,0,60,,,,no solid product,n/a
536,MG2-82-04,Ce,BTC,0,60,0.019,0.019,0.019,YIMRUL,n/a
537,MG2-82-05,Ce,Trimellitic,0,60,0.568,0.025,0.025,UTONAT,n/a
538,MG2-82-06,Ce,Pyromellitic,0,60,0.574,0.032,0.032,RIVSOH_011,n/a
539,MG2-82-07,Ce,Mellitic,0,60,14.036,0.038,0.038,NIHDUD,n/a
540,MG2-82-08,Ce,BDC,2,60,,19.043,19.043,no solid product,n/a
541,MG2-82-09,Ce,Phthalic,2,60,,,,no solid product,n/a
542,MG2-82-10,Ce,Isophthalic,2,60,,,,no solid product,n/a
543,MG2-82-11,Ce,BTC,2,60,0.063,0.063,0.063,YIMRUL,n/a
544,MG2-82-12,Ce,Trimellitic,2,60,0.613,1.158,0.613,UTONAT,n/a
545,MG2-82-13,Ce,Pyromellitic,2,60,0.076,0.076,0.076,RIVSOH_011,n/a
546,MG2-82-14,Ce,Mellitic,2,60,0.081,0.081,0.081,NIHDUD,n/a
547,MG2-82-15,Ce,BDC,5,60,,,,no solid product,n/a
548,MG2-82-16,Ce,Phthalic,5,60,,,,no solid product,n/a
549,MG2-82-17,Ce,Isophthalic,5,60,,,,no solid product,n/a
550,MG2-82-18,Ce,BTC,5,60,0.107,0.107,0.107,YIMRUL,n/a
551,MG2-82-19,Ce,Trimellitic,5,60,2.113,2.113,2.113,UTONAT,n/a
552,MG2-82-20,Ce,Pyromellitic,5,60,0.12,0.12,0.12,RIVSOH_011,n/a
553,MG2-82-21,Ce,Mellitic,5,60,0.127,0.127,0.127,NIHDUD,n/a
554,MG2-82-22,Ce,BDC,10,60,,,,no solid product,n/a
555,MG2-82-23,Ce,Phthalic,10,60,,,,no solid product,n/a
556,MG2-82-24,Ce,Isophthalic,10,60,,,,no solid product,n/a
557,MG2-82-25,Ce,BTC,10,60,0.153,0.153,0.153,YIMRUL,n/a
558,MG2-82-26,Ce,Trimellitic,10,60,6.156,6.156,6.156,UTONAT,n/a
559,MG2-82-27,Ce,Pyromellitic,10,60,0.166,0.166,0.166,RIVSOH_011,n/a
560,MG2-82-28,Ce,Mellitic,10,60,0.172,0.715,0.172,NIHDUD,n/a
561,MG2-82-29,Pr,BDC,0,60,,,,no solid product,n/a
562,MG2-82-30,Pr,Phthalic,0,60,,,,no solid product,n/a
563,MG2-82-31,Pr,Isophthalic,0,60,,,,no solid product,n/a
564,MG2-82-32,Pr,BTC,0,60,0.197,0.197,0.197,YIMRUL,n/a
565,MG2-82-33,Pr,Trimellitic,0,60,0.203,0.748,0.203,UTONAT,n/a
566,MG2-82-34,Pr,Pyromellitic,0,60,0.21,0.21,0.21,RIVSOH_011,n/a
567,MG2-82-35,Pr,Mellitic,0,60,1.304,0.76,0.76,NIHDUD,n/a
568,MG2-82-36,Pr,BDC,2,60,,,,no solid product,n/a
569,MG2-82-37,Pr,Phthalic,2,60,,,,no solid product,n/a
570,MG2-82-38,Pr,Isophthalic,2,60,,,,no solid product,n/a
571,MG2-82-39,Pr,BTC,2,60,0.241,0.241,0.241,YIMRUL,n/a
572,MG2-82-40,Pr,Trimellitic,2,60,0.792,4.247,0.792,UTONAT,n/a
573,MG2-82-41,Pr,Pyromellitic,2,60,0.254,0.254,0.254,RIVSOH_011,n/a
574,MG2-82-42,Pr,Mellitic,2,60,6.259,0.261,0.261,GANHAG,NIHDUD
575,MG2-82-43,Pr,BDC,5,60,,,,no solid product,n/a
576,MG2-82-44,Pr,Phthalic,5,60,,,,no solid product,n/a
577,MG2-82-45,Pr,Isophthalic,5,60,,,,no solid product,n/a
578,MG2-82-46,Pr,BTC,5,60,0.286,0.286,0.286,YIMRUL,n/a
579,MG2-82-47,Pr,Trimellitic,5,60,1.38,2.289,1.38,UTONAT,SEVWEV
580,MG2-82-48,Pr,Pyromellitic,5,60,0.298,0.298,0.298,RIVSOH_011,n/a
581,MG2-82-49,Pr,Mellitic,5,60,,0.305,0.305,GANHAG,unknown phase
582,MG2-82-50,Pr,BDC,10,60,,,,no solid product,n/a
583,MG2-82-51,Pr,Phthalic,10,60,,,,no solid product,n/a
584,MG2-82-52,Pr,Isophthalic,10,60,,,,no solid product,n/a
585,MG2-82-53,Pr,BTC,10,60,0.331,0.331,0.331,YIMRUL,n/a
586,MG2-82-54,Pr,Trimellitic,10,60,6.337,10.336,6.337,UTONAT,n/a
587,MG2-82-55,Pr,Pyromellitic,10,60,0.344,0.888,0.344,RIVSOH_011,n/a
588,MG2-82-56,Pr,Mellitic,10,60,0.894,0.35,0.35,NIHDUD,n/a
589,MG2-82-57,Nd,BDC,0,60,,,,no solid product,n/a
590,MG2-82-58,Nd,Phthalic,0,60,,,,no solid product,n/a
591,MG2-82-59,Nd,Isophthalic,0,60,,,,no solid product,n/a
592,MG2-82-60,Nd,BTC,0,60,0.375,0.92,0.375,YIMRUL,n/a
593,MG2-82-61,Nd,Trimellitic,0,60,0.381,0.381,0.381,UTONAT,SEVWEV
594,MG2-82-62,Nd,Pyromellitic,0,60,0.387,0.932,0.387,RIVSOH_011,n/a
595,MG2-82-63,Nd,Mellitic,0,60,0.393,0.393,0.393,unknown phase,n/a
596,MG2-82-64,Nd,BDC,2,60,,,,no solid product,n/a
597,MG2-82-65,Nd,Phthalic,2,60,,,,no solid product,n/a
598,MG2-82-66,Nd,Isophthalic,2,60,,,,no solid product,n/a
599,MG2-82-67,Nd,BTC,2,60,0.419,0.419,0.419,YIMRUL,n/a
600,MG2-82-68,Nd,Trimellitic,2,60,0.426,0.97,0.426,UTONAT,SEVWEV
601,MG2-82-69,Nd,Pyromellitic,2,60,0.432,0.432,0.432,RIVSOH_011,n/a
602,MG2-82-70,Nd,Mellitic,2,60,,0.439,0.439,NIHDUD,GANHAG
603,MG2-82-71,Nd,BDC,5,60,,,,no solid product,n/a
604,MG2-82-72,Nd,Phthalic,5,60,,,,no solid product,n/a
605,MG2-82-73,Nd,Isophthalic,5,60,,,,no solid product,n/a
606,MG2-82-74,Nd,BTC,5,60,0.464,0.464,0.464,YIMRUL,n/a
607,MG2-82-75,Nd,Trimellitic,5,60,1.558,1.016,1.016,UTONAT,SEVWEV
608,MG2-82-76,Nd,Pyromellitic,5,60,0.477,0.477,0.477,RIVSOH_011,n/a
609,MG2-82-77,Nd,Mellitic,5,60,1.029,0.484,0.484,ZOMPAU01,n/a
610,MG2-82-78,Nd,BDC,10,60,,,,no solid product,n/a
611,MG2-82-79,Nd,Phthalic,10,60,,,,no solid product,n/a
612,MG2-82-80,Nd,Isophthalic,10,60,,,,no solid product,n/a
613,MG2-82-81,Nd,BTC,10,60,0.508,0.508,0.508,YIMRUL,n/a
614,MG2-82-82,Nd,Trimellitic,10,60,10.513,10.513,10.513,ROWZEM,n/a
615,MG2-82-83,Nd,Pyromellitic,10,60,0.521,0.521,0.521,RIVSOH,n/a
616,MG2-82-84,Nd,Mellitic,10,60,,0.527,0.527,unknown phase,n/a
617,MG2-83-01,Sm,BDC,0,60,,1.998,1.998,no solid product,n/a
618,MG2-83-02,Sm,Phthalic,0,60,,,,no solid product,n/a
619,MG2-83-03,Sm,Isophthalic,0,60,,,,no solid product,n/a
620,MG2-83-04,Sm,BTC,0,60,0.019,0.019,0.019,RAVJUV,n/a
621,MG2-83-05,Sm,Trimellitic,0,60,0.026,0.026,0.026,ROWZEM,n/a
622,MG2-83-06,Sm,Pyromellitic,0,60,0.577,0.577,0.577,unknown phase,n/a
623,MG2-83-07,Sm,Mellitic,0,60,2.037,0.038,0.038,unknown phase,n/a
624,MG2-83-08,Sm,BDC,2,60,,,,no solid product,n/a
625,MG2-83-09,Sm,Phthalic,2,60,0.05,,0.05,no solid product,n/a
626,MG2-83-10,Sm,Isophthalic,2,60,,,,no solid product,n/a
627,MG2-83-11,Sm,BTC,2,60,0.063,0.063,0.063,RAVJUV,n/a
628,MG2-83-12,Sm,Trimellitic,2,60,0.616,2.068,0.616,ROWZEM,n/a
629,MG2-83-13,Sm,Pyromellitic,2,60,2.076,0.622,0.622,RIVSOH_011,unknown phase
630,MG2-83-14,Sm,Mellitic,2,60,0.083,0.083,0.083,unknown phase,n/a
631,MG2-83-15,Sm,BDC,5,60,,,,no solid product,n/a
632,MG2-83-16,Sm,Phthalic,5,60,,,,no solid product,n/a
633,MG2-83-17,Sm,Isophthalic,5,60,,,,no solid product,n/a
634,MG2-83-18,Sm,BTC,5,60,0.109,0.109,0.109,CAQFEI,n/a
635,MG2-83-19,Sm,Trimellitic,5,60,1.202,1.202,1.202,ROWZEM,n/a
636,MG2-83-20,Sm,Pyromellitic,5,60,1.209,1.209,1.209,RIVSOH_011,unknown phase
637,MG2-83-21,Sm,Mellitic,5,60,,0.128,0.128,unknown phase,n/a
638,MG2-83-22,Sm,BDC,10,60,,,,no solid product,n/a
639,MG2-83-23,Sm,Phthalic,10,60,,,,no solid product,n/a
640,MG2-83-24,Sm,Isophthalic,10,60,,,,no solid product,n/a
641,MG2-83-25,Sm,BTC,10,60,0.698,0.154,0.154,RAVJUV,n/a
642,MG2-83-26,Sm,Trimellitic,10,60,10.157,10.157,10.157,ROWZEM,n/a
643,MG2-83-27,Sm,Pyromellitic,10,60,4.162,1.253,1.253,RIVSOH_011,n/a
644,MG2-83-28,Sm,Mellitic,10,60,,0.172,0.172,unknown phase,n/a
645,MG2-83-29,Eu,BDC,0,60,10.176,,10.176,no solid product,n/a
646,MG2-83-30,Eu,Phthalic,0,60,,,,no solid product,n/a
647,MG2-83-31,Eu,Isophthalic,0,60,,,,no solid product,n/a
648,MG2-83-32,Eu,BTC,0,60,0.198,0.198,0.198,RAVJUV,n/a
649,MG2-83-33,Eu,Trimellitic,0,60,0.204,0.204,0.204,ROWZEM,n/a
650,MG2-83-34,Eu,Pyromellitic,0,60,0.754,0.754,0.754,unknown phase,n/a
651,MG2-83-35,Eu,Mellitic,0,60,0.761,0.217,0.217,unknown phase,n/a
652,MG2-83-36,Eu,BDC,2,60,,,,no solid product,n/a
653,MG2-83-37,Eu,Phthalic,2,60,,,,no solid product,n/a
654,MG2-83-38,Eu,Isophthalic,2,60,,,,no solid product,n/a
655,MG2-83-39,Eu,BTC,2,60,0.242,0.242,0.242,CAQFEI,n/a
656,MG2-83-40,Eu,Trimellitic,2,60,1.336,1.336,1.336,SEVWEV,n/a
657,MG2-83-41,Eu,Pyromellitic,2,60,2.252,0.799,0.799,RIVSOH_011,unknown phase
658,MG2-83-42,Eu,Mellitic,2,60,0.261,0.261,0.261,LAXGOH02,n/a
659,MG2-83-43,Eu,BDC,5,60,,,,no solid product,n/a
660,MG2-83-44,Eu,Phthalic,5,60,,,,no solid product,n/a
661,MG2-83-45,Eu,Isophthalic,5,60,,,,no solid product,n/a
662,MG2-83-46,Eu,BTC,5,60,0.287,0.287,0.287,CAQFEI,unknown phase
663,MG2-83-47,Eu,Trimellitic,5,60,14.292,14.292,14.292,ROWZEM,n/a
664,MG2-83-48,Eu,Pyromellitic,5,60,2.296,4.295,2.296,RIVSOH_011,unknown phase
665,MG2-83-49,Eu,Mellitic,5,60,1.393,0.306,0.306,unknown phase,n/a
666,MG2-83-50,Eu,BDC,10,60,,,,no solid product,n/a
667,MG2-83-51,Eu,Phthalic,10,60,,,,no solid product,n/a
668,MG2-83-52,Eu,Isophthalic,10,60,,,,no solid product,n/a
669,MG2-83-53,Eu,BTC,10,60,4.326,0.331,0.331,CAQFEI,n/a
670,MG2-83-54,Eu,Trimellitic,10,60,19.336,19.336,19.336,ROWZEM,n/a
671,MG2-83-55,Eu,Pyromellitic,10,60,10.343,14.344,10.343,RIVSOH_011,n/a
672,MG2-83-56,Eu,Mellitic,10,60,4.346,0.351,0.351,unknown phase,n/a
673,MG2-83-57,Gd,BDC,0,60,,,,no solid product,n/a
674,MG2-83-58,Gd,Phthalic,0,60,,,,no solid product,n/a
675,MG2-83-59,Gd,Isophthalic,0,60,,,,no solid product,n/a
676,MG2-83-60,Gd,BTC,0,60,0.376,0.376,0.376,CAQFEI,n/a
677,MG2-83-61,Gd,Trimellitic,0,60,0.383,0.926,0.383,VOYWUB,n/a
678,MG2-83-62,Gd,Pyromellitic,0,60,0.931,0.931,0.931,unknown phase,n/a
679,MG2-83-63,Gd,Mellitic,0,60,0.395,0.395,0.395,LAXGOH01,n/a
680,MG2-83-64,Gd,BDC,2,60,,,,no solid product,n/a
681,MG2-83-65,Gd,Phthalic,2,60,,,,no solid product,n/a
682,MG2-83-66,Gd,Isophthalic,2,60,,,,no solid product,n/a
683,MG2-83-67,Gd,BTC,2,60,0.421,0.421,0.421,CAQFEI,n/a
684,MG2-83-68,Gd,Trimellitic,2,60,0.97,1.514,0.97,ROWZEM,n/a
685,MG2-83-69,Gd,Pyromellitic,2,60,1.521,14.432,1.521,RIVSOH_011,n/a
686,MG2-83-70,Gd,Mellitic,2,60,,0.44,0.44,LAXGOH01,n/a
687,MG2-83-71,Gd,BDC,5,60,,,,no solid product,n/a
688,MG2-83-72,Gd,Phthalic,5,60,,,,no solid product,n/a
689,MG2-83-73,Gd,Isophthalic,5,60,,,,no solid product,n/a
690,MG2-83-74,Gd,BTC,5,60,0.466,0.466,0.466,CAQFEI,n/a
691,MG2-83-75,Gd,Trimellitic,5,60,,,,ROWZEM,n/a
692,MG2-83-76,Gd,Pyromellitic,5,60,,4.473,4.473,RIVSOH_011,unknown phase
693,MG2-83-77,Gd,Mellitic,5,60,0.485,0.485,0.485,CUDQOL01,n/a
694,MG2-83-78,Gd,BDC,10,60,,,,no solid product,n/a
695,MG2-83-79,Gd,Phthalic,10,60,,10.496,10.496,no solid product,n/a
696,MG2-83-80,Gd,Isophthalic,10,60,,,,no solid product,n/a
697,MG2-83-81,Gd,BTC,10,60,4.504,4.504,4.504,CAQFEI,n/a
698,MG2-83-82,Gd,Trimellitic,10,60,,,,ROWZEM,n/a
699,MG2-83-83,Gd,Pyromellitic,10,60,,14.521,14.521,RIVSOH_011,n/a
700,MG2-83-84,Gd,Mellitic,10,60,0.53,0.53,0.53,LAXGOH02,n/a
701,MG2-84-01,Tb,BDC,0,60,,,,no solid product,n/a
702,MG2-84-02,Tb,Phthalic,0,60,,,,no solid product,n/a
703,MG2-84-03,Tb,Isophthalic,0,60,,,,no solid product,n/a
704,MG2-84-04,Tb,BTC,0,60,0.018,0.018,0.018,CAQFEI,n/a
705,MG2-84-05,Tb,Trimellitic,0,60,0.023,0.546,0.023,ROWZEM,n/a
706,MG2-84-06,Tb,Pyromellitic,0,60,,10.029,10.029,unknown phase,NU-2504
707,MG2-84-07,Tb,Mellitic,0,60,0.559,0.036,0.036,ZOMKAP02,n/a
708,MG2-84-08,Tb,BDC,2,60,,,,no solid product,n/a
709,MG2-84-09,Tb,Phthalic,2,60,,,,no solid product,n/a
710,MG2-84-10,Tb,Isophthalic,2,60,,,,no solid product,n/a
711,MG2-84-11,Tb,BTC,2,60,0.06,0.584,0.06,CAQFEI,n/a
712,MG2-84-12,Tb,Trimellitic,2,60,2.066,4.064,2.066,ROWZEM,n/a
713,MG2-84-13,Tb,Pyromellitic,2,60,,4.07,4.07,RIVSOH,n/a
714,MG2-84-14,Tb,Mellitic,2,60,0.078,0.078,0.078,ZOMKAP02,n/a
715,MG2-84-15,Tb,BDC,5,60,,,,no solid product,n/a
716,MG2-84-16,Tb,Phthalic,5,60,,,,no solid product,n/a
717,MG2-84-17,Tb,Isophthalic,5,60,,,,no solid product,n/a
718,MG2-84-18,Tb,BTC,5,60,0.102,0.627,0.102,CAQFEI,n/a
719,MG2-84-19,Tb,Trimellitic,5,60,14.109,4.107,4.107,ROWZEM,n/a
720,MG2-84-20,Tb,Pyromellitic,5,60,,19.115,19.115,NU-2504,unknown phase
721,MG2-84-21,Tb,Mellitic,5,60,0.122,0.122,0.122,ZOMKAP02,n/a
722,MG2-84-22,Tb,BDC,10,60,,,,no solid product,n/a
723,MG2-84-23,Tb,Phthalic,10,60,,,,no solid product,n/a
724,MG2-84-24,Tb,Isophthalic,10,60,,,,no solid product,n/a
725,MG2-84-25,Tb,BTC,10,60,,,,CAQFEI,n/a
726,MG2-84-26,Tb,Trimellitic,10,60,19.153,,19.153,ROWZEM,n/a
727,MG2-84-27,Tb,Pyromellitic,10,60,,19.159,19.159,RIVSOH_011,unknown phase
728,MG2-84-28,Tb,Mellitic,10,60,0.165,0.165,0.165,ZOMKAP02,n/a
729,MG2-84-29,Dy,BDC,0,60,,,,no solid product,n/a
730,MG2-84-30,Dy,Phthalic,0,60,,,,no solid product,n/a
731,MG2-84-31,Dy,Isophthalic,0,60,,,,no solid product,n/a
732,MG2-84-32,Dy,BTC,0,60,0.189,0.189,0.189,RAVJUV,n/a
733,MG2-84-33,Dy,Trimellitic,0,60,0.72,1.244,0.72,VOYWUB,n/a
734,MG2-84-34,Dy,Pyromellitic,0,60,2.2,,2.2,UZATAR,n/a
735,MG2-84-35,Dy,Mellitic,0,60,0.732,0.207,0.207,LAXGOH01,n/a
736,MG2-84-36,Dy,BDC,2,60,,,,no solid product,n/a
737,MG2-84-37,Dy,Phthalic,2,60,,,,no solid product,n/a
738,MG2-84-38,Dy,Isophthalic,2,60,,,,no solid product,n/a
739,MG2-84-39,Dy,BTC,2,60,2.23,6.229,2.23,RAVJUV,n/a
740,MG2-84-40,Dy,Trimellitic,2,60,4.238,2.236,2.236,VOYWUB,n/a
741,MG2-84-41,Dy,Pyromellitic,2,60,,,,NU-2504,unknown phase
742,MG2-84-42,Dy,Mellitic,2,60,0.25,0.25,0.25,LAXGOH01,n/a
743,MG2-84-43,Dy,BDC,5,60,,,,no solid product,n/a
744,MG2-84-44,Dy,Phthalic,5,60,,,,no solid product,n/a
745,MG2-84-45,Dy,Isophthalic,5,60,,,,no solid product,n/a
746,MG2-84-46,Dy,BTC,5,60,14.275,0.799,0.799,CAQFEI,n/a
747,MG2-84-47,Dy,Trimellitic,5,60,,,,ROWZEM,n/a
748,MG2-84-48,Dy,Pyromellitic,5,60,,4.287,4.287,NU-2504,unknown phase
749,MG2-84-49,Dy,Mellitic,5,60,0.294,0.294,0.294,LAXGOH01,n/a
750,MG2-84-50,Dy,BDC,10,60,,,,no solid product,n/a
751,MG2-84-51,Dy,Phthalic,10,60,,,,no solid product,n/a
752,MG2-84-52,Dy,Isophthalic,10,60,,,,no solid product,n/a
753,MG2-84-53,Dy,BTC,10,60,,,,no solid product,n/a
754,MG2-84-54,Dy,Trimellitic,10,60,14.324,19.326,14.324,ROWZEM,n/a
755,MG2-84-55,Dy,Pyromellitic,10,60,,,,NU-2504,unknown phase
756,MG2-84-56,Dy,Mellitic,10,60,0.336,0.336,0.336,CUDQOL01,n/a
757,MG2-84-57,Ho,BDC,0,60,,,,no solid product,n/a
758,MG2-84-58,Ho,Phthalic,0,60,,0.349,0.349,no solid product,n/a
759,MG2-84-59,Ho,Isophthalic,0,60,,,,no solid product,n/a
760,MG2-84-60,Ho,BTC,0,60,0.885,0.361,0.361,CAQFEI,n/a
761,MG2-84-61,Ho,Trimellitic,0,60,0.891,1.417,0.891,VOYWUB,n/a
762,MG2-84-62,Ho,Pyromellitic,0,60,,,,NU-2504,UZATAR
763,MG2-84-63,Ho,Mellitic,0,60,0.38,0.38,0.38,ZOMKAP02,TUMHAK
764,MG2-84-64,Ho,BDC,2,60,,,,no solid product,n/a
765,MG2-84-65,Ho,Phthalic,2,60,,,,no solid product,n/a
766,MG2-84-66,Ho,Isophthalic,2,60,,,,no solid product,n/a
767,MG2-84-67,Ho,BTC,2,60,,,,CAQFEI,n/a
768,MG2-84-68,Ho,Trimellitic,2,60,0.934,,0.934,VOYWUB,n/a
769,MG2-84-69,Ho,Pyromellitic,2,60,,,,NU-2504,unknown phase
770,MG2-84-70,Ho,Mellitic,2,60,0.422,0.422,0.422,ZOMKAP02,TUMHAK
771,MG2-84-71,Ho,BDC,5,60,,,,no solid product,n/a
772,MG2-84-72,Ho,Phthalic,5,60,,,,no solid product,n/a
773,MG2-84-73,Ho,Isophthalic,5,60,,,,no solid product,n/a
774,MG2-84-74,Ho,BTC,5,60,,,,CAQFEI,n/a
775,MG2-84-75,Ho,Trimellitic,5,60,,14.453,14.453,VOYWUB,n/a
776,MG2-84-76,Ho,Pyromellitic,5,60,,,,NU-2504,unknown phase
777,MG2-84-77,Ho,Mellitic,5,60,0.464,0.464,0.464,CUDQOL03,unknown phase
778,MG2-84-78,Ho,BDC,10,60,,,,no solid product,n/a
779,MG2-84-79,Ho,Phthalic,10,60,,,,no solid product,n/a
780,MG2-84-80,Ho,Isophthalic,10,60,,,,no solid product,n/a
781,MG2-84-81,Ho,BTC,10,60,,,,no solid product,n/a
782,MG2-84-82,Ho,Trimellitic,10,60,,,,VOYWUB,n/a
783,MG2-84-83,Ho,Pyromellitic,10,60,,6.5,6.5,NU-2504,unknown phase
784,MG2-84-84,Ho,Mellitic,10,60,0.508,0.508,0.508,unknown phase,n/a
785,MG2-85-01,Er,BDC,0,60,,,,no solid product,n/a
786,MG2-85-02,Er,Phthalic,0,60,,0.534,0.534,no solid product,n/a
787,MG2-85-03,Er,Isophthalic,0,60,,,,no solid product,n/a
788,MG2-85-04,Er,BTC,0,60,1.071,1.071,1.071,unknown phase,n/a
789,MG2-85-05,Er,Trimellitic,0,60,0.552,2.024,0.552,VOYWUB,n/a
790,MG2-85-06,Er,Pyromellitic,0,60,1.083,1.083,1.083,NU-2504,unknown phase
791,MG2-85-07,Er,Mellitic,0,60,1.09,0.036,0.036,TUMHAK,unknown phase
792,MG2-85-08,Er,BDC,2,60,,0.042,0.042,no solid product,n/a
793,MG2-85-09,Er,Phthalic,2,60,,,,no solid product,n/a
794,MG2-85-10,Er,Isophthalic,2,60,,,,no solid product,n/a
795,MG2-85-11,Er,BTC,2,60,,,,unknown phase,n/a
796,MG2-85-12,Er,Trimellitic,2,60,,19.066,19.066,VOYWUB,n/a
797,MG2-85-13,Er,Pyromellitic,2,60,10.073,1.126,1.126,UZATAR,NU-2504
798,MG2-85-14,Er,Mellitic,2,60,0.079,0.079,0.079,TUMHAK,unknown phase
799,MG2-85-15,Er,BDC,5,60,,,,no solid product,n/a
800,MG2-85-16,Er,Phthalic,5,60,,,,no solid product,n/a
801,MG2-85-17,Er,Isophthalic,5,60,,,,no solid product,n/a
802,MG2-85-18,Er,BTC,5,60,,,,no solid product,n/a
803,MG2-85-19,Er,Trimellitic,5,60,10.111,14.11,10.111,VOYWUB,NU-2501
804,MG2-85-20,Er,Pyromellitic,5,60,1.17,2.116,1.17,NU-2504,UZATAR
805,MG2-85-21,Er,Mellitic,5,60,1.176,0.123,0.123,TUMHAK,n/a
806,MG2-85-22,Er,BDC,10,60,,,,no solid product,n/a
807,MG2-85-23,Er,Phthalic,10,60,,,,no solid product,n/a
808,MG2-85-24,Er,Isophthalic,10,60,,,,no solid product,n/a
809,MG2-85-25,Er,BTC,10,60,,,,unknown phase,n/a
810,MG2-85-26,Er,Trimellitic,10,60,,,,VOYWUB,unknown phase
811,MG2-85-27,Er,Pyromellitic,10,60,,10.16,10.16,NU-2504,unknown phase
812,MG2-85-28,Er,Mellitic,10,60,0.167,0.167,0.167,TUMHAK,n/a
813,MG2-85-29,Tm,BDC,0,60,,,,no solid product,n/a
814,MG2-85-30,Tm,Phthalic,0,60,,,,no solid product,n/a
815,MG2-85-31,Tm,Isophthalic,0,60,,,,no solid product,n/a
816,MG2-85-32,Tm,BTC,0,60,1.243,1.243,1.243,unknown phase,n/a
817,MG2-85-33,Tm,Trimellitic,0,60,2.196,2.196,2.196,VOYWUB,n/a
818,MG2-85-34,Tm,Pyromellitic,0,60,,2.203,2.203,NU-2505,NU-2504
819,MG2-85-35,Tm,Mellitic,0,60,0.21,0.21,0.21,TUMHAK,n/a
820,MG2-85-36,Tm,BDC,2,60,,,,no solid product,n/a
821,MG2-85-37,Tm,Phthalic,2,60,,,,no solid product,n/a
822,MG2-85-38,Tm,Isophthalic,2,60,,,,no solid product,n/a
823,MG2-85-39,Tm,BTC,2,60,,,,no solid product,n/a
824,MG2-85-40,Tm,Trimellitic,2,60,,,,VOYWUB,NU-2501
825,MG2-85-41,Tm,Pyromellitic,2,60,,6.244,6.244,MITGOL,NU-2505
826,MG2-85-42,Tm,Mellitic,2,60,0.779,0.253,0.253,TUMHAK,unknown phase
827,MG2-85-43,Tm,BDC,5,60,,,,no solid product,n/a
828,MG2-85-44,Tm,Phthalic,5,60,,,,no solid product,n/a
829,MG2-85-45,Tm,Isophthalic,5,60,,,,no solid product,n/a
830,MG2-85-46,Tm,BTC,5,60,,,,no crystalline product,n/a
831,MG2-85-47,Tm,Trimellitic,5,60,14.281,,14.281,NU-2501,unknown phase
832,MG2-85-48,Tm,Pyromellitic,5,60,2.287,2.287,2.287,UZATAR,NU-2504
833,MG2-85-49,Tm,Mellitic,5,60,0.297,0.297,0.297,TUMHAK,unknown phase
834,MG2-85-50,Tm,BDC,10,60,,,,no solid product,n/a
835,MG2-85-51,Tm,Phthalic,10,60,,,,no solid product,n/a
836,MG2-85-52,Tm,Isophthalic,10,60,,,,no solid product,n/a
837,MG2-85-53,Tm,BTC,10,60,,,,NU-2503,n/a
838,MG2-85-54,Tm,Trimellitic,10,60,,,,no crystalline product,n/a
839,MG2-85-55,Tm,Pyromellitic,10,60,,,,NU-2504,NU-2505
840,MG2-85-56,Tm,Mellitic,10,60,0.341,0.341,0.341,TUMHAK,unknown phase
841,MG2-85-57,Yb,BDC,0,60,,,,no solid product,n/a
842,MG2-85-58,Yb,Phthalic,0,60,,,,no solid product,n/a
843,MG2-85-59,Yb,Isophthalic,0,60,,6.356,6.356,no solid product,n/a
844,MG2-85-60,Yb,BTC,0,60,2.36,2.36,2.36,unknown phase,n/a
845,MG2-85-61,Yb,Trimellitic,0,60,6.368,4.37,4.37,NU-2501,unknown phase
846,MG2-85-62,Yb,Pyromellitic,0,60,,10.374,10.374,NU-2505,unknown phase
847,MG2-85-63,Yb,Mellitic,0,60,0.384,0.384,0.384,TUMHAK,unknown phase
848,MG2-85-64,Yb,BDC,2,60,,,,no solid product,n/a
849,MG2-85-65,Yb,Phthalic,2,60,,,,no solid product,n/a
850,MG2-85-66,Yb,Isophthalic,2,60,,,,no solid product,n/a
851,MG2-85-67,Yb,BTC,2,60,,,,no solid product,n/a
852,MG2-85-68,Yb,Trimellitic,2,60,,,,NU-2501,unknown phase
853,MG2-85-69,Yb,Pyromellitic,2,60,2.416,4.419,2.416,NU-2505,unknown phase
854,MG2-85-70,Yb,Mellitic,2,60,0.426,0.426,0.426,TUMHAK,unknown phase
855,MG2-85-71,Yb,BDC,5,60,,,,no solid product,n/a
856,MG2-85-72,Yb,Phthalic,5,60,,,,no solid product,n/a
857,MG2-85-73,Yb,Isophthalic,5,60,,,,no solid product,n/a
858,MG2-85-74,Yb,BTC,5,60,,,,no solid product,n/a
859,MG2-85-75,Yb,Trimellitic,5,60,,0.983,0.983,NU-2501,unknown phase
860,MG2-85-76,Yb,Pyromellitic,5,60,,10.46,10.46,NU-2505,unknown phase
861,MG2-85-77,Yb,Mellitic,5,60,0.469,0.469,0.469,TUMHAK,unknown phase
862,MG2-85-78,Yb,BDC,10,60,,,,no solid product,n/a
863,MG2-85-79,Yb,Phthalic,10,60,,,,no solid product,n/a
864,MG2-85-80,Yb,Isophthalic,10,60,,,,no solid product,n/a
865,MG2-85-81,Yb,BTC,10,60,,,,NU-2503,n/a
866,MG2-85-82,Yb,Trimellitic,10,60,,,,no crystalline product,n/a
