Legante,Ligand_SMILES,Ligand_InChIKey,Structure_Status,Structure_Source
"3,5-diamino-4,4'-bipyrazole",Nc1n[nH]c(N)c1-c1cn[nH]c1,DLWHCOVNOOTWOY-UHFFFAOYSA-N,curated_name_to_structure,Curated project registry
"3-(3,5-DiMePz4-yl)pentane-2,4-dione",,,pubchem_http_404,unresolved
3-MePz-4-COOH,Cc1[nH]ncc1C(=O)O,HLYYXPDTFLUERX-UHFFFAOYSA-N,curated_name_to_structure,Curated project registry
"3-amino-4,4'-bipyrazole",Nc1[nH]ncc1-c1cn[nH]c1,BNWJEGGLNCCFLN-UHFFFAOYSA-N,curated_name_to_structure,Curated project registry
"3-nitro-4,4'-bipyrazole",O=[N+]([O-])c1[nH]ncc1-c1cn[nH]c1,RTOLQGUSKACYLE-UHFFFAOYSA-N,resolved,PubChem PUG REST
"4,4',4''-Triaminotriphenylamine",Nc1ccc(N(c2ccc(N)cc2)c2ccc(N)cc2)cc1,SNLFYGIUTYKKOE-UHFFFAOYSA-N,resolved,PubChem PUG REST
"4,4'-(naphthalene-2,6-diyl)dibenzonic acid",,,pubchem_http_404,unresolved
"4,4'-Biphenyldicarboxylic acid",O=C(O)c1ccc(-c2ccc(C(=O)O)cc2)cc1,NEQFBGHQPUXOFH-UHFFFAOYSA-N,resolved,PubChem PUG REST
"4,4'-Biphenyldicarboxylic acid (BPDC)",O=C(O)c1ccc(-c2ccc(C(=O)O)cc2)cc1,NEQFBGHQPUXOFH-UHFFFAOYSA-N,resolved,PubChem PUG REST
"4,4'-Biphenyldicarboxylic acid (H2BPDC)",O=C(O)c1ccc(-c2ccc(C(=O)O)cc2)cc1,NEQFBGHQPUXOFH-UHFFFAOYSA-N,resolved,PubChem PUG REST
"4,4'-Bipyridine",c1cc(-c2ccncc2)ccn1,MWVTWFVJZLCBMC-UHFFFAOYSA-N,resolved,PubChem PUG REST
"4,4'-Bipyridine (0.5) / H2BDC (0.5)",c1cc(-c2ccncc2)ccn1,MWVTWFVJZLCBMC-UHFFFAOYSA-N,resolved,PubChem PUG REST
"4,5-Dichloroimidazole",Clc1nc[nH]c1Cl,QAJJXHRQPLATMK-UHFFFAOYSA-N,resolved,PubChem PUG REST
"4-Amino-4H-1,2,4-triazole",Nn1cnnc1,FMCUPJKTGNBGEC-UHFFFAOYSA-N,resolved,PubChem PUG REST
4-Methyl-5-imidazolecarboxaldehyde,Cc1[nH]cnc1C=O,KMWCSNCNHSEXIF-UHFFFAOYSA-N,resolved,PubChem PUG REST
"5-(2,4,6-trioxohexahydro-1,3,5-triazin-1-yl)isophthalic acid",,,pubchem_http_404,unresolved
5-Aminoisophthalic acid,Nc1cc(C(=O)O)cc(C(=O)O)c1,KBZFDRWPMZESDI-UHFFFAOYSA-N,resolved,PubChem PUG REST
5-MePz-4-COOH,Cc1n[nH]cc1C(=O)O,HLYYXPDTFLUERX-UHFFFAOYSA-N,curated_name_to_structure,Curated project registry
5-Methoxyisophthalic acid,COc1cc(C(=O)O)cc(C(=O)O)c1,POSMIIJADZKUPL-UHFFFAOYSA-N,resolved,PubChem PUG REST
5-Nitroisophthalic acid,O=C(O)c1cc(C(=O)O)cc([N+](=O)[O-])c1,NBDAHKQJXVLAID-UHFFFAOYSA-N,resolved,PubChem PUG REST
"Adenine (0.4) / 4,4'-BPDC (0.8)",Nc1ncnc2nc[nH]c12,GFFGJBXGBJISGV-UHFFFAOYSA-N,resolved,PubChem PUG REST
B5,,,pubchem_http_404,unresolved
BHB-based tetracarboxylate,,,pubchem_http_404,unresolved
Benzimidazole,c1ccc2[nH]cnc2c1,HYZJCKYKOHLVJF-UHFFFAOYSA-N,resolved,PubChem PUG REST
Et4BPz,,,pubchem_http_404,unresolved
FErrocenylPz,,,pubchem_http_404,unresolved
Fumaric acid,O=C(O)C=CC(=O)O,VZCYOOQTPOCHFL-OWOJBTEDSA-N,resolved,PubChem PUG REST
H2BPZNH2,Nc1[nH]ncc1-c1cn[nH]c1,BNWJEGGLNCCFLN-UHFFFAOYSA-N,curated_name_to_structure,Curated project registry
H2Me2BDP,,,pubchem_http_404,unresolved
H4TBAPy derivative,,,pubchem_http_404,unresolved
Imidazole (3.0) / Benzimidazole (1.0),c1c[nH]cn1,RAXXELZNTBOGNW-UHFFFAOYSA-N,resolved,PubChem PUG REST
