model,evaluation_set,record_id,true_class,P_failed,P_amorphous,P_crystalline,predicted_class
frozen_v8_raw_input,laboratory_held_out,LAB-DDS-002,2,0.7009356638609558,0.1105350604653253,0.1885292756737188,0
frozen_v8_raw_input,laboratory_held_out,LAB-DDS-003,0,0.7270568202931184,0.1049018565344124,0.16804132317246925,0
frozen_v8_raw_input,laboratory_held_out,LAB-DDS-004,2,0.7606034076480088,0.091425834970731,0.14797075738125998,0
frozen_v8_raw_input,laboratory_held_out,LAB-DDS-005,2,0.7615746754250678,0.09117612392381644,0.14724920065111552,0
frozen_v8_raw_input,laboratory_held_out,LAB-DDS-006,2,0.7267068909312708,0.11874396119191138,0.1545491478768176,0
frozen_v8_raw_input,laboratory_held_out,LAB-DDS-007,0,0.7971810166588269,0.07800736909082763,0.12481161425034534,0
frozen_v8_raw_input,laboratory_held_out,LAB-DDS-008,0,0.7082890246141653,0.11868890297937192,0.17302207240646278,0
frozen_v8_raw_input,laboratory_held_out,LAB-DDS-009,2,0.7700195127612632,0.10426783250537786,0.1257126547333589,0
frozen_v8_raw_input,laboratory_held_out,LAB-DDS-010,2,0.7185295605732851,0.09918743162260062,0.18228300780411433,0
frozen_v8_raw_input,laboratory_held_out,LAB-DDS-011,2,0.7071976524620984,0.11848164297194033,0.17432070456596122,0
frozen_v8_raw_input,laboratory_held_out,LAB-DDS-014,2,0.7408155347195897,0.09324437001084679,0.1659400952695636,0
frozen_v8_raw_input,laboratory_held_out,LAB-DDS-015,1,0.7667399878351167,0.1029365797777346,0.13032343238714872,0
frozen_v8_raw_input,laboratory_held_out,LAB-DDS-016,2,0.7415063662854049,0.09239008468053336,0.1661035490340616,0
frozen_v8_raw_input,laboratory_held_out,LAB-DDS-017,2,0.7415063662854049,0.09239008468053336,0.1661035490340616,0
frozen_v8_raw_input,laboratory_held_out,LAB-DDS-018,2,0.7667399878351167,0.1029365797777346,0.13032343238714872,0
frozen_v8_raw_input,laboratory_held_out,LAB-DDS-019,2,0.7664314502967751,0.10095599816659265,0.1326125515366321,0
frozen_v8_raw_input,laboratory_held_out,LAB-DDS-020,2,0.7415063662854049,0.09239008468053336,0.1661035490340616,0
frozen_v8_raw_input,literature_positive,LITCRYST_001,2,0.32104552292957866,0.22799941256431247,0.45095506450610895,2
frozen_v8_raw_input,literature_positive,LITCRYST_002,2,0.5306465281498042,0.25682806811590586,0.2125254037342899,0
frozen_v8_raw_input,literature_positive,LITCRYST_003,2,0.12208675399262695,0.21036434731113096,0.667548898696242,2
frozen_v8_raw_input,literature_positive,LITCRYST_004,2,0.2083462288946284,0.1869692969385479,0.6046844741668236,2
frozen_v8_raw_input,literature_positive,LITCRYST_005,2,0.47016070069398574,0.05869412977788197,0.4711451695281323,2
frozen_v8_raw_input,literature_positive,LITCRYST_006,2,0.1481527280966082,0.060050533749341974,0.7917967381540497,2
frozen_v8_raw_input,literature_positive,LITCRYST_007,2,0.08950112147437406,0.269447596996041,0.6410512815295848,2
frozen_v8_raw_input,literature_positive,LITCRYST_008,2,0.08150155524382274,0.04004066567381535,0.8784577790823618,2
frozen_v8_raw_input,literature_positive,LITCRYST_009,2,0.21059578040366725,0.038899771689679286,0.7505044479066534,2
frozen_v8_canonical_input,laboratory_held_out,LAB-DDS-002,2,0.7009356638609558,0.1105350604653253,0.1885292756737188,0
frozen_v8_canonical_input,laboratory_held_out,LAB-DDS-003,0,0.7270568202931184,0.1049018565344124,0.16804132317246925,0
frozen_v8_canonical_input,laboratory_held_out,LAB-DDS-004,2,0.7606034076480088,0.091425834970731,0.14797075738125998,0
frozen_v8_canonical_input,laboratory_held_out,LAB-DDS-005,2,0.7615746754250678,0.09117612392381644,0.14724920065111552,0
frozen_v8_canonical_input,laboratory_held_out,LAB-DDS-006,2,0.7267068909312708,0.11874396119191138,0.1545491478768176,0
frozen_v8_canonical_input,laboratory_held_out,LAB-DDS-007,0,0.7971810166588269,0.07800736909082763,0.12481161425034534,0
frozen_v8_canonical_input,laboratory_held_out,LAB-DDS-008,0,0.7082890246141653,0.11868890297937192,0.17302207240646278,0
frozen_v8_canonical_input,laboratory_held_out,LAB-DDS-009,2,0.7700195127612632,0.10426783250537786,0.1257126547333589,0
frozen_v8_canonical_input,laboratory_held_out,LAB-DDS-010,2,0.7185295605732851,0.09918743162260062,0.18228300780411433,0
frozen_v8_canonical_input,laboratory_held_out,LAB-DDS-011,2,0.7071976524620984,0.11848164297194033,0.17432070456596122,0
frozen_v8_canonical_input,laboratory_held_out,LAB-DDS-014,2,0.7408155347195897,0.09324437001084679,0.1659400952695636,0
frozen_v8_canonical_input,laboratory_held_out,LAB-DDS-015,1,0.7667399878351167,0.1029365797777346,0.13032343238714872,0
frozen_v8_canonical_input,laboratory_held_out,LAB-DDS-016,2,0.7415063662854049,0.09239008468053336,0.1661035490340616,0
frozen_v8_canonical_input,laboratory_held_out,LAB-DDS-017,2,0.7415063662854049,0.09239008468053336,0.1661035490340616,0
frozen_v8_canonical_input,laboratory_held_out,LAB-DDS-018,2,0.7667399878351167,0.1029365797777346,0.13032343238714872,0
frozen_v8_canonical_input,laboratory_held_out,LAB-DDS-019,2,0.7664314502967751,0.10095599816659265,0.1326125515366321,0
frozen_v8_canonical_input,laboratory_held_out,LAB-DDS-020,2,0.7415063662854049,0.09239008468053336,0.1661035490340616,0
frozen_v8_canonical_input,literature_positive,LITCRYST_001,2,0.16520810137490338,0.3427630866582107,0.49202881196688586,2
frozen_v8_canonical_input,literature_positive,LITCRYST_002,2,0.2652277497234179,0.5069826814613144,0.22778956881526763,1
frozen_v8_canonical_input,literature_positive,LITCRYST_003,2,0.09499616844556062,0.2621378970097099,0.6428659345447294,2
frozen_v8_canonical_input,literature_positive,LITCRYST_004,2,0.16664386515351204,0.20776502917071327,0.6255911056757747,2
frozen_v8_canonical_input,literature_positive,LITCRYST_005,2,0.3180342059208912,0.06499092561986083,0.616974868459248,2
frozen_v8_canonical_input,literature_positive,LITCRYST_006,2,0.09148843255853421,0.06740024066010547,0.8411113267813601,2
frozen_v8_canonical_input,literature_positive,LITCRYST_007,2,0.064938395526332,0.3241557631620498,0.6109058413116182,2
frozen_v8_canonical_input,literature_positive,LITCRYST_008,2,0.07157521919756465,0.049899674238907316,0.878525106563528,2
frozen_v8_canonical_input,literature_positive,LITCRYST_009,2,0.17463702962575756,0.04183694841718755,0.783526021957055,2
v10_7_volume_deleaked,laboratory_held_out,LAB-DDS-002,2,0.2686593102309823,0.27517142205816225,0.4561692677108555,2
v10_7_volume_deleaked,laboratory_held_out,LAB-DDS-003,0,0.3049080130637242,0.3125147352335672,0.38257725170270857,2
v10_7_volume_deleaked,laboratory_held_out,LAB-DDS-004,2,0.4070551085522691,0.29626842966462724,0.2966764617831036,0
v10_7_volume_deleaked,laboratory_held_out,LAB-DDS-005,2,0.39065054948337263,0.31632234485954386,0.29302710565708356,0
v10_7_volume_deleaked,laboratory_held_out,LAB-DDS-006,2,0.3782707171966689,0.28231285397286776,0.3394164288304633,0
v10_7_volume_deleaked,laboratory_held_out,LAB-DDS-007,0,0.5384049754133965,0.23271943504071513,0.2288755895458883,0
v10_7_volume_deleaked,laboratory_held_out,LAB-DDS-008,0,0.23611918028751977,0.3640852487845298,0.39979557092795037,2
v10_7_volume_deleaked,laboratory_held_out,LAB-DDS-009,2,0.4781640755552937,0.25506800267046764,0.26676792177423864,0
v10_7_volume_deleaked,laboratory_held_out,LAB-DDS-010,2,0.27222305285898146,0.2592276932380873,0.46854925390293106,2
v10_7_volume_deleaked,laboratory_held_out,LAB-DDS-011,2,0.17840180994412713,0.4760902323672312,0.3455079576886415,1
v10_7_volume_deleaked,laboratory_held_out,LAB-DDS-014,2,0.26018787885362027,0.35012881368925264,0.38968330745712704,2
