Class,Precision,Recall,F1,Support
0,0.7419354838709677,0.8518518518518519,0.7931034482758621,54
1,0.7126436781609196,0.8157894736842105,0.7607361963190185,76
2,0.9166666666666666,0.7913669064748201,0.8494208494208494,139
