variant,fold,n,accuracy,balanced_accuracy,macro_f1,mcc,log_loss,brier_multiclass,ece_10,recall_failed,recall_amorphous,recall_crystalline,confusion_matrix
canonical_volume_without_missing_flag,1,276,0.6521739130434783,0.6256532996627615,0.6287217292663821,0.4743469830587301,0.7148034586313275,0.418514730280803,0.0695954752853291,0.5131578947368421,0.47191011235955055,0.8918918918918919,"[[39, 15, 22], [10, 42, 37], [4, 8, 99]]"
canonical_volume_without_missing_flag,2,258,0.8217054263565892,0.8059340054872445,0.8070036346297446,0.7259302328054434,0.5348387074842073,0.29200201232005474,0.18101203614137035,0.7647058823529411,0.7341772151898734,0.918918918918919,"[[52, 15, 1], [11, 58, 10], [3, 6, 102]]"
canonical_volume_without_missing_flag,3,186,0.7365591397849462,0.6151293722508115,0.6143287358093183,0.5237221746407137,0.659878065026604,0.3752133412776183,0.09627554848856416,0.27586206896551724,0.6956521739130435,0.8738738738738738,"[[8, 15, 6], [4, 32, 10], [4, 10, 97]]"
canonical_volume_without_missing_flag,4,179,0.7094972067039106,0.5190862799558452,0.5391964482402182,0.40176386028241257,0.7148632621285986,0.41782525935153136,0.10548784351472926,0.18181818181818182,0.45652173913043476,0.918918918918919,"[[4, 5, 13], [2, 21, 23], [2, 7, 102]]"
canonical_volume_without_missing_flag,5,179,0.776536312849162,0.7493264015003144,0.7194079753179601,0.6342681839431085,0.6116759509887885,0.3361059405647411,0.13755562073003694,0.5909090909090909,0.8913043478260869,0.7657657657657657,"[[13, 7, 2], [4, 41, 1], [5, 21, 85]]"
