variant,fold,n,accuracy,balanced_accuracy,macro_f1,mcc,log_loss,brier_multiclass,ece_10,recall_failed,recall_amorphous,recall_crystalline,confusion_matrix
historical_v8_schema,1,276,0.8043478260869565,0.8049419910744571,0.8071847111575465,0.710159816018996,0.48473830263820206,0.2731022051340357,0.10936045483623545,0.9342105263157895,0.6067415730337079,0.8738738738738738,"[[71, 1, 4], [0, 54, 35], [8, 6, 97]]"
historical_v8_schema,2,258,0.9341085271317829,0.9380012924316721,0.9379678145021342,0.898902199829194,0.2986017135813904,0.1335227572284952,0.16240236007327308,1.0,0.8860759493670886,0.9279279279279279,"[[68, 0, 0], [0, 70, 9], [1, 7, 103]]"
historical_v8_schema,3,186,0.8225806451612904,0.8075196635916276,0.7901467189227214,0.6935790758826023,0.5282154004597577,0.2795402772219406,0.06642693638330334,0.7931034482758621,0.782608695652174,0.8468468468468469,"[[23, 3, 3], [4, 36, 6], [6, 11, 94]]"
historical_v8_schema,4,179,0.7541899441340782,0.645123384253819,0.6655893126481361,0.5178704352883139,0.5980347451485529,0.3629071113498737,0.0592326433267487,0.5,0.5434782608695652,0.8918918918918919,"[[11, 0, 11], [4, 25, 17], [5, 7, 99]]"
historical_v8_schema,5,179,0.7932960893854749,0.8184963619746228,0.7559755059755059,0.6679531403862105,0.5897175580585662,0.3331167848189843,0.05964034215522177,0.8636363636363636,0.8260869565217391,0.7657657657657657,"[[19, 2, 1], [7, 38, 1], [8, 18, 85]]"
canonical_with_volume,1,276,0.8043478260869565,0.8049419910744571,0.8071847111575465,0.710159816018996,0.48469242449775635,0.2730899367669201,0.1064033521033273,0.9342105263157895,0.6067415730337079,0.8738738738738738,"[[71, 1, 4], [0, 54, 35], [8, 6, 97]]"
canonical_with_volume,2,258,0.9341085271317829,0.9380012924316721,0.9379678145021342,0.898902199829194,0.2986250993218312,0.13353078508337224,0.16243082786415255,1.0,0.8860759493670886,0.9279279279279279,"[[68, 0, 0], [0, 70, 9], [1, 7, 103]]"
canonical_with_volume,3,186,0.8225806451612904,0.8075196635916276,0.7901467189227214,0.6935790758826023,0.5283494356224674,0.27962277435591476,0.06647948404908167,0.7931034482758621,0.782608695652174,0.8468468468468469,"[[23, 3, 3], [4, 36, 6], [6, 11, 94]]"
canonical_with_volume,4,179,0.7541899441340782,0.645123384253819,0.6655893126481361,0.5178704352883139,0.5979418219714654,0.36282253561875616,0.05925788549238023,0.5,0.5434782608695652,0.8918918918918919,"[[11, 0, 11], [4, 25, 17], [5, 7, 99]]"
canonical_with_volume,5,179,0.7932960893854749,0.8184963619746228,0.7559755059755059,0.6679531403862105,0.5893553291494862,0.3333710113258259,0.06105286511622333,0.8636363636363636,0.8260869565217391,0.7657657657657657,"[[19, 2, 1], [7, 38, 1], [8, 18, 85]]"
canonical_no_volume,1,276,0.5652173913043478,0.5207257819617371,0.5025901463697292,0.3371500284392177,0.8394557358368184,0.49239871850276656,0.10601699864011704,0.25,0.39325842696629215,0.918918918918919,"[[19, 24, 33], [14, 35, 40], [0, 9, 102]]"
canonical_no_volume,2,258,0.7286821705426356,0.6887330368343026,0.6883519281108345,0.5819408967637474,0.6163163383293391,0.35642085078077385,0.10688375058041492,0.5,0.620253164556962,0.9459459459459459,"[[34, 32, 2], [21, 49, 9], [5, 1, 105]]"
canonical_no_volume,3,186,0.7096774193548387,0.5746451098774937,0.5683807970803486,0.4765287209704083,0.6812922242056794,0.38726348599481775,0.07750517255544118,0.20689655172413793,0.6521739130434783,0.8648648648648649,"[[6, 17, 6], [6, 30, 10], [3, 12, 96]]"
canonical_no_volume,4,179,0.6983240223463687,0.4687295991643818,0.45243416577592077,0.37030476579448296,0.7463590494326832,0.4305355230432574,0.13309280534047327,0.0,0.4782608695652174,0.9279279279279279,"[[0, 7, 15], [2, 22, 22], [1, 7, 103]]"
canonical_no_volume,5,179,0.7262569832402235,0.5686120903512207,0.5109014838491723,0.5421070066652592,0.6739565751782521,0.3743766413269312,0.12815323702094245,0.0,0.9130434782608695,0.7927927927927928,"[[0, 20, 2], [3, 42, 1], [4, 19, 88]]"
