fold,n,accuracy,balanced_accuracy,macro_f1,mcc,log_loss,brier_multiclass,ece_10,recall_failed,recall_amorphous,recall_crystalline,confusion_matrix
1,276,0.6413043478260869,0.6077058726378656,0.6115545659120369,0.4641996687960838,0.7205797427946121,0.42488179841577284,0.04367284543542865,0.42105263157894735,0.48314606741573035,0.918918918918919,"[[32, 16, 28], [4, 43, 42], [4, 5, 102]]"
2,258,0.8217054263565892,0.799020725863615,0.8032763532763533,0.725423576761812,0.5514494990603145,0.30059073616174764,0.18591560221499068,0.7205882352941176,0.7215189873417721,0.954954954954955,"[[49, 14, 5], [10, 57, 12], [3, 2, 106]]"
3,186,0.7419354838709677,0.6096366231298765,0.6017678239675478,0.5333657869129237,0.6572519062117526,0.371853931333499,0.05914233180243829,0.20689655172413793,0.7391304347826086,0.8828828828828829,"[[6, 17, 6], [2, 34, 10], [4, 9, 98]]"
4,179,0.6983240223463687,0.4930266234614061,0.4975949197027057,0.375592600498728,0.7248375045427928,0.4206425975374557,0.10000275286572824,0.09090909090909091,0.4782608695652174,0.9099099099099099,"[[2, 6, 14], [2, 22, 22], [1, 9, 101]]"
5,179,0.7821229050279329,0.7280323802062932,0.70479829937881,0.6360211134995459,0.6196942398600302,0.33930182972794726,0.12704062763186788,0.5,0.8913043478260869,0.7927927927927928,"[[11, 9, 2], [4, 41, 1], [5, 18, 88]]"
