variant,fold,n,accuracy,balanced_accuracy,macro_f1,mcc,log_loss,brier_multiclass,ece_10,recall_failed,recall_amorphous,recall_crystalline,confusion_matrix
10.12.0-audited-deleaked,1,142,0.8309859154929577,0.5713182629070479,0.6178787878787878,0.5232290592162443,0.48307208500955373,0.2574586359640627,0.08022199428062296,0.2222222222222222,0.5384615384615384,0.9532710280373832,"[[2, 3, 4], [0, 14, 12], [0, 5, 102]]"
10.12.0-audited-deleaked,2,170,0.8117647058823529,0.6481481481481481,0.7156447584922364,0.6227200680602175,0.5092902723935695,0.27206695111440815,0.11505594121897879,0.5,0.4444444444444444,1.0,"[[12, 1, 11], [0, 16, 20], [0, 0, 110]]"
10.12.0-audited-deleaked,3,139,0.841726618705036,0.5490880503144654,0.5859431524547803,0.532444965039236,0.4119359743303799,0.2128845724930778,0.11187518583132175,0.125,0.56,0.9622641509433962,"[[1, 1, 6], [0, 14, 11], [1, 3, 102]]"
10.12.0-audited-deleaked,4,140,0.8785714285714286,0.6881551362683439,0.7511904761904762,0.6633843133650351,0.44232752060206704,0.22977808241542352,0.1317452176210378,0.5,0.5833333333333334,0.9811320754716981,"[[5, 0, 5], [1, 14, 9], [0, 2, 104]]"
10.12.0-audited-deleaked,5,140,0.8142857142857143,0.4603773584905661,0.48032448032448033,0.44047475227052396,0.5035737075490828,0.2815051716868989,0.1201866686236454,0.0,0.4,0.9811320754716981,"[[0, 1, 8], [2, 10, 13], [1, 1, 104]]"
